"the other",-183.01,-198.01,S
"re : 6 . ",-486.98,-503.21,S
"re : equi",-439.25,-468.15,S
"Hello I a",-286.09,-262.34,P
"software ",-474.29,-468.41,P
"global ri",-1625.66,-1773.98,S
"On Sun, A",-381.55,-394.66,S
"entourage",-4466.11,-4093.54,P
"we owe yo",-325.58,-310.04,P
"re : coas",-802.01,-871.78,S
"make her ",-868.05,-797.41,P
"URL: http",-0.5,-0.93,S
"begin for",-3058.98,-3188.82,S
"re : fyi ",-474.18,-522.5,S
"rmmla / a",-1349.64,-1473.55,S
"re : test",-180.11,-188.95,S
"The acade",-140.98,-154.78,S
"re : 3 . ",-551.26,-634.8,S
"a resume ",-587.23,-615.03,S
"EFFector ",-3383.47,-3418.52,S
"re : meet",-378.98,-400.48,S
"formal in",-124.2,-126.39,S
"Question?",-321.42,-306.62,P
URL: http:",-0.5,-0.93,S
"calpine d",-131.16,-147.38,S
"fw : bod ",-318.99,-354.53,S
"start dat",-174.47,-203.11,S
"re : tetc",-1307.33,-1437.14,S
"PROMOTE Y",-421.66,-389.08,P
"culture c",-203.04,-231.98,S
"sle 31 ca",-2491.08,-2905.06,S
",-0.5,-0.93,P
"lowers bl",-547.57,-537.36,P
"release o",-1344.48,-1454.75,S
"mobil bea",-271.88,-300.8,S
"<!--funct",-200.4,-202.55,S
"presentat",-422.35,-460.19,S
"premium a",-276.03,-249.42,P
"Thanks Br",-336.46,-399.58,S
"re : 6 . ",-842.78,-931.51,S
"25 mg tri",-460.03,-424.11,P
"Help want",-267.44,-243.25,P
"important",-631.76,-602.27,P
"hpl optim",-925.27,-963.67,S
"Pity.  Re",-170.75,-174.89,S
"BUY 2 ADU",-118.01,-105.6,P
"re : fw :",-725.48,-815.33,S
"new hire ",-208.3,-224.61,S
"gino , wh",-89.04,-84.54,P
"unbelieva",-250.05,-231.59,P
"URL: http",-50.74,-50.62,P
"discover ",-189.67,-181.1,P
"interview",-125.96,-142.77,S
"----- Ori",-109.9,-115.94,S
empty",-8.75,-8.4,P
"chess - e",-171.77,-188.8,S
"free port",-397.75,-378.44,P
today ' s ",-146.56,-159.26,S
"urgent mr",-1368.2,-1275.44,P
"open seas",-117.36,-128.65,S
"refinanci",-1217.47,-1101.03,P
"your in -",-201.33,-192.79,P
">>>>> TP ",-1256.24,-1307.26,S
"URL: http",-252.62,-261.51,S
"closing l",-2287.37,-2530.57,S
"tmda.net/",-422.67,-449.87,S
"Digital P",-498.77,-463.93,P
"hi again ",-261.72,-264.91,S
" workshop",-972.38,-1107.8,S
re : hi . ",-108.36,-102.87,P
"organizat",-632.01,-666.91,S
"Looks and",-1009.93,-1032.02,S
"fw : end ",-942.38,-1023.61,S
confirmati",-94.66,-101.88,S
"enrononli",-390.32,-404.78,S
"re : 5 . ",-1338.21,-1514.14,S
"Are you i",-526.39,-491.77,P
"esther to",-541.64,-680.88,S
"query : h",-317.41,-364.48,S
"Now      ",-621.88,-553.0,P
"confidenc",-1624.22,-1505.23,P
"current a",-3059.2,-2792.13,P
re [ 11 ] ",-21.58,-21.97,S
"job : eng",-804.61,-885.09,S
"On Thu, A",-283.14,-303.75,S
"summer at",-105.85,-108.01,S
parking pa",-207.69,-217.94,S
"On 9 Aug ",-96.92,-109.82,S
"Hi,Does a",-79.23,-84.28,S
"net impac",-432.76,-475.14,S
"on his fa",-217.28,-212.38,P
"On 12 Sep",-76.87,-88.05,S
"afro - as",-3295.55,-3705.39,S
webcam dat",-25.16,-23.1,P
"have the ",-832.38,-817.27,P
"enron / h",-16.64,-20.14,S
"you ' ve ",-156.79,-148.26,P
"A:link {T",-1461.05,-1363.5,P
